id,customer_account_id,aggregation_provider_id,institution_transaction_id,date,type,description,amount,running_balance,pending,exclude,plaid_transaction_id,amount_currency_type_id,running_balance_currency_type_id,plaid_category_id,category_1,category_2,category_3,plaid_currency_code,authorized_date,street_address,city,region,postal_code,country,latitude,longitude,store_number,reference_number,ppd_id,payee,payment_channel,removed
2084728,2892,8680968556,,2017-01-25 20:00:00,6,PAYPAL INST XFER,-62.90,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084729,2892,8680968555,,2017-01-25 20:00:00,12,BILL PAY Sunshine realty,-4500.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084730,2892,8680968554,,2017-01-25 20:00:00,12,ONLINE TRANSFER TO SANYAL S,-6000.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084731,2892,8680968553,,2017-01-25 20:00:00,12,ONLINE TRANSFER REF #IBEKG8HBLF,-269.79,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084732,2892,8680968552,,2017-01-25 20:00:00,4,HDFC BANK LIMITED,-40000.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084733,2892,8680968551,,2017-01-25 20:00:00,4,NATIONAL WESTMINSTE,-3469.42,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084734,2892,8680968550,,2017-01-25 20:00:00,4,WT SEQ#00338 8X8 INC /BNF=8x8,-651.40,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084735,2892,8680968549,,2017-01-25 20:00:00,16,WT FED#00224 JPMORGAN CHASE BAN,-24766.49,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084736,2892,8680968548,,2017-01-25 20:00:00,16,WT FED#00223 COMERICA BANK,-10750.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084737,2892,8680968547,,2017-01-25 20:00:00,16,"WT FED#00218 BANK OF AMERICA, N",-2267.22,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084738,2892,8680968546,,2017-01-25 20:00:00,4,"K OF AMERICA, N /FTR/",-792.25,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084727,2892,8680968557,,2017-01-26 20:00:00,12,"ONLINE TRANSFER TO NUVELLO, INC",-1000.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084722,2892,8680968562,,2017-01-26 20:00:00,6,PAYPAL INST XFER,-60.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084723,2892,8680968561,,2017-01-26 20:00:00,12,BILL PAY Paul Wotipka ON-LINE No,-2390.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084724,2892,8680968560,,2017-01-26 20:00:00,12,ONLINE TRANSFER TO CHANNELOPIA,-1500.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084725,2892,8680968559,,2017-01-26 20:00:00,12,ONLINE TRANSFER TO SANYAL S,-45000.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
2084726,2892,8680968558,,2017-01-26 20:00:00,12,"ONLINE TRANSFER TO NUVELLO, INC",-1000.00,,False,False,,1,1,,,,,,,,,,,,,,,,,,,False
